Name	Mean(log(AA))	Mean(log(EA))	logFC	M-W U test pval	Adj pval
OVCH1	0.7405350324963365	0.8907198480919923	-0.15018481559565589	0.005924737338471209	0.012679033481674054
PHACTR1	5.685650725261793	5.835883333628127	-0.15023260836633412	0.01021175145791875	0.02052719840525566
FAM122A	7.286413833409528	7.436661254470102	-0.1502474210605742	4.099898176512795E-8	2.8498986866660695E-7
BET1L	9.882129551358847	10.032435221715794	-0.1503056703569463	6.1207705570609505E-12	1.0236131623984759E-10
MAEL	2.4505553356032745	2.6008646764648913	-0.15030934086161674	0.027264419925756234	0.048718565118511824
ARRDC2	9.127735904653226	9.278068046327824	-0.15033214167459796	0.005330353895603213	0.011540228857195163
PIK3R6	4.351852443579117	4.502191872662897	-0.15033942908378073	0.01098484289243773	0.02191622615501174
RNF144B	7.973742146766899	8.124130491873203	-0.15038834510630394	0.04207443588561666	0.07124682718259884
PEG10	8.175883750924891	8.3262843030094	-0.1504005520845091	0.48130477727291343	0.5666142600965934
KLHL15	5.776774154882042	5.927207394927999	-0.15043324004595693	5.005351635944955E-6	2.199745752746851E-5
DHX40	9.217489327415965	9.367975932526623	-0.15048660511065748	1.7778806748469655E-5	6.884703986883465E-5
GFPT1	8.894349675216969	9.044858057859276	-0.15050838264230748	9.726959371181287E-5	3.2062874944425995E-4
C2orf73	2.530253427786315	2.6807636886468753	-0.1505102608605604	0.04522747133920202	0.07590534771008614
CEPT1	8.770155521823634	8.920686295113615	-0.1505307732899812	2.8857396916492917E-8	2.0838656330022562E-7
SMCO3	2.5408744410649855	2.6914355984120455	-0.15056115734706	1.534719641560489E-5	6.0354813457351824E-5
AIM1	7.781753729785177	7.932320633436087	-0.15056690365091008	0.024401415109007174	0.0441265586302491
SSX5	0.3640678529992629	0.5146417960306015	-0.15057394303133853	0.15510121840250812	0.22088703390260228
DIS3	8.142669378604445	8.293309530138067	-0.1506401515336222	9.453458954533644E-7	4.907821963511025E-6
G2E3	6.995335718510622	7.146054759898189	-0.15071904138756675	1.5224994023876892E-4	4.7806481234973446E-4
BDP1	7.488858809475025	7.639585761619168	-0.15072695214414278	2.0961674854769186E-6	9.983107281774487E-6
SEPSECS	6.6626003341030815	6.813368774296352	-0.15076844019327051	4.544692685123364E-4	0.0012824286207230662
GCSAM	4.530773758078923	4.681550654778951	-0.15077689670002759	0.014839871391152393	0.028584213408320187
PFKFB3	9.462062389171304	9.61284241880157	-0.1507800296302655	0.002486442910764275	0.005863407780763819
ZFP30	6.28648484368649	6.437268110908739	-0.15078326722224844	3.613524613519381E-4	0.00104030209075901
RIMS1	1.7023360782438237	1.853173405909363	-0.15083732766553926	0.05568787942815112	0.09106470864195818
CHP1	10.06540330478291	10.216311365660044	-0.15090806087713382	2.5530266045681316E-7	1.4907252491950886E-6
SPRR4	0.3667416429287332	0.5176946241268252	-0.15095298119809203	0.3902979903450371	0.477759577911266
FAM110C	7.388556876558038	7.539541002918741	-0.15098412636070258	0.24619071710147422	0.32631169980250724
TVP23A	3.6036535161240644	3.754662079321975	-0.15100856319791056	0.0029220094184470025	0.0067523963366015495
TCTN2	7.966030837070709	8.117046265969906	-0.15101542889919717	1.391756712035841E-4	4.411185736094106E-4
CRKL	9.030695206403177	9.18171619860344	-0.15102099220026233	1.614161049268148E-8	1.2289757955381066E-7
TCEANC	5.500017752871317	5.651047970588999	-0.15103021771768166	3.926562900713471E-6	1.7687500259162435E-5
RAD9B	2.9428691875550674	3.093906806688562	-0.15103761913349478	4.7572570323628494E-4	0.0013355813946877172
ANO1	8.442177165042263	8.59321947397474	-0.1510423089324764	0.2322524249002791	0.31089901964600386
ZFYVE20	7.304596795701109	7.45565056959476	-0.1510537738936515	1.0070925415828214E-7	6.419730265070473E-7
SDC2	10.239169902892858	10.39022752564875	-0.15105762275589285	0.029340722652131168	0.05187391912829947
ZNF75A	8.14652543230224	8.297589315074465	-0.15106388277222393	3.876487801770523E-4	0.0011086462915490696
NXT2	7.545068210732963	7.696156432158527	-0.15108822142556377	2.0233364693256206E-5	7.738136030944603E-5
PLIN1	4.03095207472145	4.1820494994595965	-0.1510974247381469	0.5530966220027768	0.6337608959301981
