Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
UGT2B11	292	Hartigans' dip test for unimodality / multimodality	0.0273985317276532	0.1334	black or african american	GTEX	0.7931703558602676
UGT2B17	292	Hartigans' dip test for unimodality / multimodality	0.0356554862786991	0.0096	black or african american	GTEX	0.08421734104046243
UGT3A1	292	Hartigans' dip test for unimodality / multimodality	0.0232152443235927	0.3471	black or african american	GTEX	1
UGT3A2	292	Hartigans' dip test for unimodality / multimodality	0.0547356167129707	0.0000	black or african american	GTEX	0
UGT8	292	Hartigans' dip test for unimodality / multimodality	0.017931298120226	0.7981	black or african american	GTEX	1
UHMK1	292	Hartigans' dip test for unimodality / multimodality	0.0179272563639042	0.7984	black or african american	GTEX	1
UHRF1BP1	292	Hartigans' dip test for unimodality / multimodality	0.0162751983456021	0.9093	black or african american	GTEX	1
UHRF1BP1L	292	Hartigans' dip test for unimodality / multimodality	0.0165583732184311	0.8938	black or african american	GTEX	1
UHRF2	292	Hartigans' dip test for unimodality / multimodality	0.0158924973302501	0.9275	black or african american	GTEX	1
UIMC1	292	Hartigans' dip test for unimodality / multimodality	0.0141251002718459	0.9839	black or african american	GTEX	1
ULBP1	292	Hartigans' dip test for unimodality / multimodality	0.0216511127273222	0.4693	black or african american	GTEX	1
ULBP2	292	Hartigans' dip test for unimodality / multimodality	0.0342465753424658	0.0163	black or african american	GTEX	0.13414170808856754
ULBP3	292	Hartigans' dip test for unimodality / multimodality	0.0376712328767123	0.0046	black or african american	GTEX	0.044069016307206735
ULK1	292	Hartigans' dip test for unimodality / multimodality	0.0137463430616935	0.9899	black or african american	GTEX	1
ULK2	292	Hartigans' dip test for unimodality / multimodality	0.0136985184359827	0.9901	black or african american	GTEX	1
ULK3	292	Hartigans' dip test for unimodality / multimodality	0.012559564372034	0.9927	black or african american	GTEX	1
ULK4	292	Hartigans' dip test for unimodality / multimodality	0.017117149450248	0.8550	black or african american	GTEX	1
UMOD	292	Hartigans' dip test for unimodality / multimodality	0.0169015790073553	0.8700	black or african american	GTEX	1
UMODL1	292	Hartigans' dip test for unimodality / multimodality	0.0374655032202749	0.0049	black or african american	GTEX	0.046454346694429986
UMPS	292	Hartigans' dip test for unimodality / multimodality	0.0196879897711021	0.6440	black or african american	GTEX	1
UNC5A	292	Hartigans' dip test for unimodality / multimodality	0.0393835616438356	0.0024	black or african american	GTEX	0.024919498289623716
UNC5B	292	Hartigans' dip test for unimodality / multimodality	0.0172712994222218	0.8443	black or african american	GTEX	1
UNC5C	292	Hartigans' dip test for unimodality / multimodality	0.0134676254038778	0.9906	black or african american	GTEX	1
