Gene.Name	N	Method	Statistic.D	pvalue	Race	Condition	padj
SRP54	97	Hartigans' dip test for unimodality / multimodality	0.0284595488002342	0.8720	white	Liver	1
SRP68	97	Hartigans' dip test for unimodality / multimodality	0.0309306510737876	0.7644	white	Liver	1
SRP72	97	Hartigans' dip test for unimodality / multimodality	0.0330483684504232	0.6551	white	Liver	1
SRPK1	97	Hartigans' dip test for unimodality / multimodality	0.0283218701763083	0.8777	white	Liver	1
SRPK2	97	Hartigans' dip test for unimodality / multimodality	0.0266329146975143	0.9323	white	Liver	1
SRPK3	97	Hartigans' dip test for unimodality / multimodality	0.042928557047321	0.2130	white	Liver	1
SRPR	97	Hartigans' dip test for unimodality / multimodality	0.0297842524639718	0.8179	white	Liver	1
SRPRB	97	Hartigans' dip test for unimodality / multimodality	0.0224231870358765	0.9911	white	Liver	1
SRPX	97	Hartigans' dip test for unimodality / multimodality	0.0211160178051097	0.9931	white	Liver	1
SRPX2	97	Hartigans' dip test for unimodality / multimodality	0.0276367073094005	0.9039	white	Liver	1
SRR	97	Hartigans' dip test for unimodality / multimodality	0.0260709410501384	0.9482	white	Liver	1
SRRD	97	Hartigans' dip test for unimodality / multimodality	0.0272678585572051	0.9144	white	Liver	1
SRRM1	97	Hartigans' dip test for unimodality / multimodality	0.0211573967269018	0.9931	white	Liver	1
SRRM2	97	Hartigans' dip test for unimodality / multimodality	0.0283503921855865	0.8765	white	Liver	1
SRRM3	97	Hartigans' dip test for unimodality / multimodality	0.0311906176152527	0.7514	white	Liver	1
SRRM4	97	Hartigans' dip test for unimodality / multimodality	0.0301353605404141	0.8035	white	Liver	1
